index,monthly_return
2012-03-30,-0.00249241
2012-04-30,0.00866714
2012-05-31,0.00379316
2012-06-29,0.00185085
2012-07-31,0.00246324
2012-08-31,-0.00007679
2012-09-28,0.00314852
2012-10-31,0.00045931
2012-11-30,0.00466753
2012-12-31,-0.00525514
2013-01-31,0.00497665
2013-02-28,0.00548530
2013-03-29,0.00439461
2013-04-30,-0.00701569
2013-05-31,-0.01678949
2013-06-28,0.00440427
2013-07-31,0.00707747
2013-08-30,0.00557635
2013-09-30,0.00569736
2013-10-31,0.00717577
2013-11-29,0.00022499
2013-12-31,-0.00884757
2014-01-31,0.01074211
2014-02-28,0.00321832
2014-03-31,-0.00179051
2014-04-30,0.00224215
2014-05-30,0.00432513
2014-06-30,0.00334125
2014-07-31,0.00199808
2014-08-29,0.00228951
2014-09-30,0.00000000
2014-10-31,0.00508437
2014-11-28,0.00278592
2014-12-31,0.00811522
2015-01-30,0.00246573
2015-02-27,-0.00166389
2015-03-31,-0.00311594
2015-04-30,0.00487025
2015-05-29,-0.00188079
2015-06-30,-0.00246413
2015-07-31,0.00421389
2015-08-31,0.00296629
2015-09-30,0.00418380
2015-10-30,0.00287336
2015-11-30,-0.00021488
2015-12-31,0.00286574
2016-01-29,0.00985855
2016-02-29,0.01230900
2016-03-31,-0.00202655
2016-04-29,0.00133044
2016-05-31,0.00377622
2016-06-30,0.00696670
2016-07-29,-0.00221392
2016-08-31,-0.00825128
2016-09-30,0.00468433
2016-10-31,-0.00438413
2016-11-30,-0.00803802
2016-12-30,-0.00028185
2017-01-31,-0.00253736
2017-02-28,0.00494630
2017-03-31,0.00091408
2017-04-28,0.00519845
2017-05-31,-0.00244601
2017-06-30,-0.00343281
2017-07-31,0.00035149
2017-08-31,0.00674631
2017-09-29,-0.00397878
2017-10-31,0.00084098
2017-11-30,0.00322106
2017-12-29,-0.00041879
2018-01-31,-0.00321207
2018-02-28,0.00427320
2018-03-30,0.00097656
2018-04-30,-0.00090592
2018-05-31,0.00230174
2018-06-29,0.00055672
2018-07-31,-0.00104326
2018-08-31,-0.00215832
2018-09-28,-0.00125593
2018-10-31,0.00377253
2018-11-30,0.00375835
2018-12-31,0.00804327
2019-01-31,0.00144449
2019-02-28,0.00034343
2019-03-29,0.00418841
2019-04-30,-0.00376068
2019-05-31,0.00322581
2019-06-28,0.00485736
2019-07-31,-0.00034041
2019-08-30,0.00953484
2019-09-30,-0.00202388
2019-10-31,-0.00723315
2019-11-29,-0.00537927
2019-12-31,-0.00657219
2020-01-31,0.00468610
2020-02-28,0.00829961
2020-03-31,-0.01040816
2020-04-30,0.00151234
2020-05-29,-0.00404969
2020-06-30,-0.00144728
2020-07-31,0.00289875
2020-08-31,-0.00536783
2020-09-30,0.00428977
2020-10-30,-0.00158457
2020-11-30,0.00103505
2020-12-31,-0.00020680
2021-01-29,-0.00068946
2021-02-26,-0.00827929
2021-03-31,0.00514818
2021-04-30,0.00124585
2021-05-31,0.00082953
2021-06-30,0.00290095
2021-07-30,0.00420110
2021-08-31,-0.00096015
2021-09-30,-0.00405025
2021-10-29,-0.00089606
2021-11-30,0.00338048
2021-12-31,-0.00137514
2022-01-31,-0.00667860
2022-02-28,-0.00041589
2022-03-31,-0.00360585
2022-04-29,-0.00208783
2022-05-31,-0.00020922
2022-06-30,-0.00279018
2022-07-29,0.01154169
2022-08-31,-0.00636194
2022-09-30,-0.00459322
2022-10-31,0.00265679
2022-11-30,0.00167352
2022-12-30,-0.01796032
2023-01-31,0.00886085
2023-02-28,0.00203766
2023-03-31,0.01802118
2023-04-28,0.00330624
2023-05-31,0.00000000
2023-06-30,0.00508032
2023-07-31,-0.01195355
2023-08-31,0.00013826
2023-09-29,-0.00781088
2023-10-31,-0.00766337
2023-11-30,0.01762145
2023-12-29,0.00779579
2024-01-31,-0.00301205
2024-02-29,0.00027465
2024-03-29,0.00000000
2025-04-30,-0.03452773
2025-05-30,-0.01137576
2025-06-30,0.00352391
2025-07-31,-0.00709474
2025-08-29,-0.00353663
2025-09-30,-0.00543242
2025-10-31,0.00182070
2025-11-28,-0.00661530
2025-12-31,-0.01551409
2026-01-30,-0.00594663
2026-02-27,0.00897330
2026-03-31,-0.01437783
2026-04-30,-0.00157907
